1676590725.93386,16-02-23 23:38:45,67,5222.9604,133.7581,99.70,1,4.105
1676590730.9344347,16-02-23 23:38:50,68,5222.9604,133.7575,99.80,1,4.112
1676590735.9365363,16-02-23 23:38:55,69,5222.9604,133.7569,99.80,1,4.105
1676590740.9355261,16-02-23 23:39:00,70,5222.9609,133.7558,99.90,1,4.112
1676590745.9352458,16-02-23 23:39:05,71,5222.9609,133.7553,99.90,1,4.112
1676590750.935849,16-02-23 23:39:10,72,5222.9614,133.7546,99.90,1,4.105
1676590755.936615,16-02-23 23:39:15,73,5222.9619,133.7544,99.90,1,4.105
1676590760.9365532,16-02-23 23:39:20,74,5222.9624,133.7547,99.90,1,4.118
1676590765.9369156,16-02-23 23:39:25,75,5222.9629,133.7546,99.90,1,4.112
1676590770.9375417,16-02-23 23:39:30,76,5222.9648,133.7532,99.30,1,4.112
1676590775.9377677,16-02-23 23:39:35,77,5222.9688,133.7529,98.90,1,4.112
1676590780.9385736,16-02-23 23:39:40,78,5222.9697,133.7515,98.40,1,4.112
1676590785.9385884,16-02-23 23:39:45,79,5222.9678,133.7450,98.20,1,4.112
1676590790.9391968,16-02-23 23:39:50,80,5222.9697,133.7420,98.20,1,4.112
1676590800.9402077,16-02-23 23:40:00,82,5222.9736,133.7308,98.60,1,4.112
1676590805.940468,16-02-23 23:40:05,83,5222.9761,133.7276,98.60,1,4.105
1676590820.9415045,16-02-23 23:40:20,86,5222.9727,133.7116,96.80,1,4.105
1676590825.941885,16-02-23 23:40:25,87,5222.9731,133.7110,96.60,1,4.112
1676590895.9476004,16-02-23 23:41:35,94,5222.9722,133.6929,89.00,1,4.105
1676590900.9480517,16-02-23 23:41:40,95,5222.9512,133.6728,89.30,1,4.105
1676590905.9483166,16-02-23 23:41:45,96,5222.9512,133.6702,86.90,1,4.112
1676590910.9490545,16-02-23 23:41:50,97,5222.9512,133.6653,84.70,1,4.105
1676590920.9494662,16-02-23 23:42:00,99,5222.9546,133.6636,83.50,1,4.105
1676590925.9552605,16-02-23 23:42:05,100,5222.9561,133.6646,83.20,1,4.105
1676590930.9555988,16-02-23 23:42:10,101,5222.9634,133.6696,82.30,1,4.105
1676590940.9563234,16-02-23 23:42:20,103,5222.9697,133.6737,84.10,1,4.105
1676590945.9566095,16-02-23 23:42:25,104,5222.9756,133.6795,83.00,1,4.105
1676590950.9569652,16-02-23 23:42:30,105,5222.9790,133.6833,83.80,1,4.112
1676590955.9572465,16-02-23 23:42:35,106,5222.9805,133.6853,88.10,1,4.105
1676590960.9578116,16-02-23 23:42:40,107,5222.9805,133.6856,89.50,1,4.105
1676590965.9582973,16-02-23 23:42:45,108,5222.9800,133.6855,88.60,1,4.105
1676590970.9585345,16-02-23 23:42:50,109,5222.9761,133.6912,86.70,1,4.112
1676590975.9587457,16-02-23 23:42:55,110,5222.9756,133.7000,84.00,1,4.105
1676590980.9591002,16-02-23 23:43:00,111,5222.9702,133.7022,84.80,1,4.105
1676590985.9598033,16-02-23 23:43:05,112,5222.9678,133.7106,82.60,1,4.105
1676590990.960426,16-02-23 23:43:10,113,5222.9668,133.7216,83.90,1,4.112
1676590995.960556,16-02-23 23:43:15,114,5222.9644,133.7286,85.60,1,4.105
1676591000.96095,16-02-23 23:43:20,115,5222.9639,133.7363,86.50,1,4.105
1676591005.961149,16-02-23 23:43:25,116,5222.9653,133.7405,86.10,1,4.105
1676591010.9616244,16-02-23 23:43:30,117,5222.9678,133.7436,87.20,1,4.105
1676591015.9620638,16-02-23 23:43:35,118,5222.9707,133.7481,88.10,1,4.105
1676591020.9623697,16-02-23 23:43:40,119,5222.9746,133.7526,88.20,1,4.105
1676591025.9632876,16-02-23 23:43:45,120,5222.9761,133.7581,90.50,1,4.105
1676591030.9634457,16-02-23 23:43:50,121,5222.9771,133.7625,96.00,1,4.105
1676591035.9638486,16-02-23 23:43:55,122,5222.9790,133.7684,97.50,1,4.105
1676591040.9643838,16-02-23 23:44:00,123,5222.9810,133.7727,100.60,1,4.105
1676591045.9644454,16-02-23 23:44:05,124,5222.9834,133.7767,100.50,1,4.105
1676591050.9652357,16-02-23 23:44:10,125,5222.9854,133.7805,98.40,1,4.105
1676591055.9656425,16-02-23 23:44:15,126,5222.9893,133.7841,97.00,1,4.099
1676591060.9658036,16-02-23 23:44:20,127,5222.9897,133.7897,95.10,1,4.099
1676591065.9662802,16-02-23 23:44:25,128,5222.9893,133.7951,93.80,1,4.099
1676591070.966732,16-02-23 23:44:30,129,5222.9883,133.7998,93.30,1,4.105
1676591075.967204,16-02-23 23:44:35,130,5222.9878,133.8055,93.00,1,4.105
1676591080.9676712,16-02-23 23:44:40,131,5222.9873,133.8112,91.60,1,4.105
1676591085.9678562,16-02-23 23:44:45,132,5222.9873,133.8167,90.40,1,4.105
1676591090.9682145,16-02-23 23:44:50,133,5222.9878,133.8207,91.30,1,4.099
1676591095.9704347,16-02-23 23:44:55,134,5222.9893,133.8247,90.50,1,4.105
1676591105.969503,16-02-23 23:45:05,136,5222.9941,133.8323,89.20,1,4.099
1676591110.9701216,16-02-23 23:45:10,137,5222.9961,133.8363,89.80,1,4.105
1676591115.970363,16-02-23 23:45:15,138,5222.9976,133.8397,90.20,1,4.105
1676591120.9708583,16-02-23 23:45:20,139,5222.9985,133.8435,90.20,1,4.105
1676591125.9709437,16-02-23 23:45:25,140,5222.9990,133.8465,91.60,1,4.099
1676591130.9715078,16-02-23 23:45:30,141,5222.9990,133.8478,91.70,1,4.099
1676591135.9718943,16-02-23 23:45:35,142,5222.9971,133.8464,92.40,1,4.099
1676591140.9724534,16-02-23 23:45:40,143,5222.9961,133.8428,92.20,1,4.099
1676591145.9729815,16-02-23 23:45:45,144,5222.9976,133.8420,91.60,1,4.099
1676591150.973043,16-02-23 23:45:50,145,5222.9995,133.8441,91.70,1,4.099
1676591155.9742842,16-02-23 23:45:55,146,5223.0015,133.8468,92.80,1,4.105
1676591160.9738367,16-02-23 23:46:00,147,5223.0049,133.8465,93.00,1,4.099
1676591165.974422,16-02-23 23:46:05,148,5223.0083,133.8439,94.00,1,4.099
1676591170.974925,16-02-23 23:46:10,149,5223.0122,133.8397,94.30,1,4.099
1676591175.9751682,16-02-23 23:46:15,150,5223.0161,133.8368,93.60,1,4.099
1676591180.9756956,16-02-23 23:46:20,151,5223.0181,133.8306,93.00,1,4.099
1676591185.9760113,16-02-23 23:46:25,152,5223.0215,133.8236,89.90,1,4.099
1676591190.9762428,16-02-23 23:46:30,153,5223.0244,133.8174,88.70,1,4.099
1676591195.9766877,16-02-23 23:46:35,154,5223.0273,133.8107,88.90,1,4.099
1676591200.9773026,16-02-23 23:46:40,155,5223.0293,133.8051,87.20,1,4.099
1676591205.9778366,16-02-23 23:46:45,156,5223.0308,133.7991,85.50,1,4.105
1676591210.9781508,16-02-23 23:46:50,157,5223.0308,133.7937,82.90,1,4.099
1676591215.9784327,16-02-23 23:46:55,158,5223.0312,133.7874,82.90,1,4.099
1676591220.9790843,16-02-23 23:47:00,159,5223.0308,133.7822,80.30,1,4.099
1676591225.9793954,16-02-23 23:47:05,160,5223.0298,133.7761,80.80,1,4.099
1676591230.9795802,16-02-23 23:47:10,161,5223.0278,133.7717,79.50,1,4.099
1676591235.9805353,16-02-23 23:47:15,162,5223.0249,133.7675,78.80,1,4.099
1676591245.9807942,16-02-23 23:47:25,164,5223.0186,133.7581,82.70,1,4.099
1676591250.983685,16-02-23 23:47:30,165,5223.0161,133.7541,81.90,1,4.099
1676591260.9823313,16-02-23 23:47:40,167,5223.0127,133.7464,77.80,1,4.099
1676591275.983588,16-02-23 23:47:55,170,5223.0039,133.7289,86.00,1,4.099
1676591285.9841907,16-02-23 23:48:05,172,5222.9985,133.7216,86.30,1,4.092
1676591290.9845703,16-02-23 23:48:10,173,5222.9956,133.7169,87.70,1,4.099
1676591295.985026,16-02-23 23:48:15,174,5222.9922,133.7146,88.40,1,4.092
1676591300.9852593,16-02-23 23:48:20,175,5222.9893,133.7119,88.80,1,4.092
1676591305.9861383,16-02-23 23:48:25,176,5222.9858,133.7089,89.90,1,4.099
1676591310.986491,16-02-23 23:48:30,177,5222.9829,133.7033,93.20,1,4.099
1676591315.986681,16-02-23 23:48:35,178,5222.9795,133.6992,97.20,1,4.092
1676591325.9876091,16-02-23 23:48:45,180,5222.9717,133.6915,96.30,1,4.099
1676591330.9881945,16-02-23 23:48:50,181,5222.9683,133.6879,97.30,1,4.099
